"Name","Status","Latitude","Longitude","Maximum.Wind","diff","rapid_int","i","n","persistence","product","Initial.Max","speed","speed_z","speed_m","Jday","Maximum.Wind_p","Latitude_p","Longitude_p"
11,3,15.1,-46.1,45,10,"0",14,26,5,200,40,0.986508793906792,0.671233500432497,0.999929226087176,43,40,14.7,-45
11,3,15.4,-47.1,45,10,"0",15,26,5,225,45,0.929424986518977,0.679883632917198,0.999929226087176,42,45,15.1,-46.1
11,3,15.6,-48.1,45,5,"0",16,26,5,225,45,0.89028445023901,0.692796568336283,0.999929226087176,42,45,15.4,-47.1
11,3,15.7,-49.2,45,5,"0",17,26,0,0,45,0.826808354321589,0.709895350078731,0.999929226087176,42,45,15.6,-48.1
11,3,15.8,-50.4,40,-5,"0",18,26,0,0,45,0.848738685316717,0.722628859675927,0.999929226087176,42,45,15.7,-49.2
11,3,17.7,-55.4,40,0,"0",22,26,5,225,45,1.11512200669347,0.743674451084642,0.999929226087176,41,40,16.9,-54.3
11,3,18.4,-56.5,35,0,"0",23,26,5,225,45,1.08193583818466,0.760348104265244,0.999929226087176,40,40,17.7,-55.4
11,2,21,-59.3,30,-10,"0",26,26,0,0,45,1.03205157021913,0.845378039650075,0.999929226087176,40,35,19.9,-58.6
104,3,28.5,-57.4,45,15,"0",5,26,5,175,35,0.251670433507256,1.16163878870533,0.999929226087176,91,35,28.3,-57.3
104,3,28.8,-57.5,50,20,"0",6,26,15,675,45,0.169966407240784,1.17271328129347,0.999929226087176,90,45,28.5,-57.4
104,3,29,-57.8,50,20,"0",7,26,15,750,50,0.219925783144521,1.17816491553909,0.999929226087176,90,50,28.8,-57.5
104,3,29.1,-58.2,50,15,"0",8,26,5,250,50,0.253438708156143,1.18355910280886,0.999929226087176,90,50,29,-57.8
104,3,29.1,-58.7,50,5,"0",9,26,0,0,50,0.283037474565543,1.19154217329515,0.999929226087176,90,50,29.1,-58.2
104,3,29.1,-59.2,45,-5,"0",10,26,0,0,50,0.329123602257124,1.19679166119563,0.999929226087176,89,50,29.1,-58.7
104,3,29.8,-61.1,40,-5,"0",14,26,0,0,50,0.365276425432235,1.2019827597944,0.999929226087176,88,40,29.6,-60.7
104,3,29.7,-61.5,40,0,"0",15,26,0,0,50,0.326970671102836,1.20455639129256,0.999929226087176,88,40,29.8,-61.1
104,3,29.6,-61.3,45,5,"0",16,26,0,0,50,0.291484761538037,1.21218905616676,0.999929226087176,88,40,29.7,-61.5
104,3,29.9,-61.4,45,5,"0",17,26,5,250,50,0.10993546797412,1.21720369552502,0.999929226087176,88,45,29.6,-61.3
104,3,30,-61.7,45,5,"0",18,26,5,250,50,0.0904718356880126,1.21470377484886,0.999929226087176,87,45,29.9,-61.4
104,3,30.3,-62,45,5,"0",19,26,0,0,50,0.219776367338299,1.21218905616676,0.999929226087176,87,45,30,-61.7
104,3,30.8,-62.3,40,-5,"0",20,26,0,0,50,0.271948307861929,1.21968874839335,0.999929226087176,87,45,30.3,-62
104,2,34.4,-62.3,30,-5,"0",25,26,0,0,50,0.667641349051931,1.26404786522324,0.999929226087176,86,30,33.4,-63
104,2,35.4,-61.6,25,-5,"0",26,26,0,0,50,0.824869050909647,1.27899905145427,0.999929226087176,85,30,34.4,-62.3
127,2,31.8,-94.9,20,-10,"0",8,55,0,0,50,0.258891100649289,1.24603715636541,0.999929226087176,96,20,31.6,-95
127,2,31.4,-94.9,20,0,"0",9,55,0,0,50,0.129409427816135,1.2574086211999,0.999929226087176,96,20,31.8,-94.9
127,2,31.1,-95,15,-5,"0",10,55,0,0,50,0.0902238393217841,1.25963704732861,0.999929226087176,96,20,31.4,-94.9
127,2,30.4,-96.2,20,0,"0",13,55,5,250,50,0.425407406165127,1.24834191088791,0.999929226087176,95,20,30.7,-96.1
127,2,30.2,-96.1,20,5,"0",14,55,5,250,50,0.298220230826915,1.2437171850255,0.999929226087176,95,20,30.4,-96.2
127,2,29.9,-95.9,20,5,"0",15,55,0,0,50,0.207490778270119,1.23903183620011,0.999929226087176,94,20,30.2,-96.1
127,2,29.6,-95.8,20,0,"0",16,55,0,0,50,0.233754635999137,1.23189061170677,0.999929226087176,94,20,29.9,-95.9
127,2,29.3,-95.8,20,0,"0",17,55,0,0,50,0.271372120285435,1.22705473505221,0.999929226087176,94,20,29.6,-95.8
127,2,28.9,-95.6,20,0,"0",18,55,0,0,50,0.251589761084237,1.21968874839335,0.999929226087176,94,20,29.3,-95.8
105,3,36.8,-68.2,45,15,"0",5,20,15,675,45,1.45746903908626,1.32610417561082,0.999929226087176,58,45,36.1,-71
105,3,37.9,-65.1,50,20,"0",6,20,10,450,45,1.79179594621307,1.33432418869677,0.999929226087176,57,45,36.8,-68.2
105,3,38.6,-61.7,50,15,"0",7,20,5,250,50,2.09269323822868,1.34365139975464,0.999929226087176,57,50,37.9,-65.1
105,3,40.5,-57.9,50,5,"0",8,20,5,250,50,2.26053656470333,1.35378792911319,0.999929226087176,57,50,38.6,-61.7
105,3,42.5,-54.5,50,5,"0",9,20,0,0,50,2.55338650130029,1.36808147660431,0.999929226087176,57,50,40.5,-57.9
1,3,31.4,-66.4,50,10,"0",13,39,5,225,45,0.698468824655053,1.28313094089752,0.999929226087176,143,45,31.7,-67.3
1,3,30.6,-65.8,50,10,"0",14,39,5,250,50,0.682549484814537,1.26839701312618,0.999929226087176,143,50,31.4,-66.4
1,3,30,-64.8,50,5,"0",15,39,5,250,50,0.701529483873978,1.26185015193703,0.999929226087176,143,50,30.6,-65.8
1,3,29.4,-63.1,50,5,"0",16,39,0,0,50,0.814516908461957,1.2551648735509,0.999929226087176,143,50,30,-64.8
1,3,29.4,-61.5,50,0,"0",17,39,0,0,50,1.09060810686508,1.2366664936156,0.999929226087176,142,50,29.4,-63.1
1,3,29.5,-60.1,50,0,"0",18,39,0,0,50,1.2152672643952,1.22215896835478,0.999929226087176,142,50,29.4,-61.5
1,3,29.6,-58.5,45,-5,"0",19,39,0,0,50,1.08484303798485,1.20711532948765,0.999929226087176,142,50,29.5,-60.1
1,3,31.9,-50.6,35,-10,"0",24,39,0,0,50,1.28105109638291,1.22215896835478,0.999929226087176,141,40,31.4,-51.5
11,3,31.6,-79.2,35,10,"0",5,25,5,150,30,0.270760021313271,1.24603715636541,0.999929226087176,40,30,31.6,-79.1
11,3,31.5,-79.3,35,10,"0",6,25,10,350,35,0.0820034115910823,1.2574086211999,0.999929226087176,39,35,31.6,-79.2
11,3,31.4,-79.4,40,15,"0",7,25,5,175,35,0.0820034115910823,1.25963704732861,0.999929226087176,39,35,31.5,-79.3
11,3,31.3,-79,50,20,"0",8,25,5,200,40,0.109069705326334,1.25963704732861,0.999929226087176,39,40,31.4,-79.4
11,3,31.8,-78.7,50,15,"0",9,25,15,750,50,0.134833392581627,1.2574086211999,0.999929226087176,39,50,31.3,-79
11,3,32.4,-78.2,60,25,"0",10,25,10,500,50,0.297938464422763,1.2551648735509,0.999929226087176,38,50,31.8,-78.7
11,1,33,-77.4,70,30,"1",11,25,10,600,60,0.536555279411727,1.25290583928257,0.999929226087176,38,60,32.4,-78.2
